,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2014-01-01,5.665816861559815,5.73659168192322,5.746310399501034,5.554185676090492,5.786068319745213,5.224686589456043,6.0748227863192925,6.285223099197968,6.0411838110267855
2014-02-01,5.475595943165381,5.452786121923731,5.893764124099523,5.363860663748644,5.57861401705348,4.937919399719814,5.826317742156501,6.020357802749804,5.261354558085311
2014-03-01,5.472584543370727,5.099548825460251,5.896190083990498,5.146343661903166,5.624608530309299,5.017033702568588,5.465862049239888,5.896939659409333,4.871825363837825
2014-04-01,5.243245652431804,5.106618780031191,5.743336598355709,4.941147264508058,5.520648377021811,5.0489271353292775,5.263850731495445,5.8061046134118275,4.690195859416953
2014-05-01,5.2014698572114195,4.990314279917456,5.654411627784497,5.079794901616221,5.59902077781704,5.073422114735225,5.229895444749888,5.598655861514592,4.570910489565833
2014-06-01,5.203522446368924,5.2422035525117785,5.627737372151007,5.113457617289328,5.6447523712228405,5.151251675917848,5.260158180559764,5.437410273673917,4.786791240729472
2014-07-01,5.406661228121946,5.491958259966856,5.739022729195282,5.359551930269589,5.8180806406249825,5.3078711614842415,5.446968588796159,5.5594123197144825,5.00323497370292
2014-08-01,5.735915057238673,5.6616195419947095,5.958924538562787,5.68553184114926,6.005381651492517,5.652451856187343,5.693043051556684,5.800967267446599,5.10850392070309
2014-09-01,5.863474430590596,5.925560007985798,5.9204885446013416,5.725728243322671,6.165267116669633,5.7124839018073335,5.731361451804055,6.100056557206045,5.223283707720373
2014-10-01,5.7717925153989125,5.758239745093768,5.8460312581716725,5.665158989154864,6.183148175864858,5.7279691657595295,5.714558736703127,6.054559028742019,5.514171462526507
2014-11-01,5.6139384244926855,5.589169796820644,5.9764043753222635,5.5813008427337945,6.06109658163677,5.7217960727194495,5.643419960630162,6.170718286569322,5.671692852941993
2014-12-01,5.814602611653163,5.4049881031204645,6.2506801998083255,5.613820708255547,5.820223153024608,5.844373727280103,5.468675953779867,6.0655784131581125,5.6273737771306
2015-01-01,6.047175531853156,5.067497550893045,6.2873003760628485,5.565691936486441,5.736039581291263,5.6795667158390994,5.7129339427274015,6.057138840344861,5.091761369952416
2015-02-01,5.9650519796893375,5.028885584516868,5.795707187915182,5.369558249606383,5.322958177664564,5.71747705816458,5.555175351097845,5.894894815252862,4.902090209222779
2015-03-01,5.801149642842202,4.837386882725143,5.350359168062677,5.185182299519814,4.776003108851863,5.736773285217903,5.382413911113878,5.705258682914975,4.578343675931709
2015-04-01,5.65941126622136,4.666783648186554,5.2437379423292985,5.038345224266732,4.6226014969182625,5.590111030447744,5.249171128255871,5.4908571790034815,4.401682878284843
2015-05-01,5.575361998064983,4.680059779130246,5.140375836125799,5.0038418351139775,4.677708978117908,5.494181365596309,5.313274418545366,5.3319215633748245,4.425468191289528
2015-06-01,5.549346900544816,4.8150776316364094,5.189924684938697,5.070155027340122,4.7476324961063785,5.5613823046822635,5.494827788096835,5.365907767701575,4.42238249304781
2015-07-01,5.751679367684004,5.11847995422625,5.3928522329118564,5.233197593335149,5.116582575065168,5.671738784907701,5.779153998340128,5.508201528212159,4.9098750188491955
2015-08-01,5.990425790359678,5.293287297849306,5.718172495866726,5.5942554328039416,5.63004720331333,5.876602134776593,6.0479228351375225,5.6367118874572775,5.359343434171398
2015-09-01,6.022559736503941,5.5231414871402835,5.902371689728413,5.6667737178999165,5.57022095643114,5.913608861132735,6.086966143482822,5.763144479323073,5.267184369947316
2015-10-01,5.868486719058932,5.578318421162585,5.8722788576294365,5.682369733900822,5.823823956290193,5.828225861522051,5.967008052411258,5.747161053476093,5.775753432441366
2015-11-01,5.711216353575964,5.585212596268605,5.781859794196175,5.640253854347732,5.8101877979014604,5.776507352370032,6.1708104586327375,5.6896452996335265,7.010577359113569
2015-12-01,5.862184055318352,5.593610654973537,5.791665536346706,5.606053052669044,6.101716620571513,5.703396805021378,6.2015066823306135,5.6479118391902325,5.9924389366924204
2016-01-01,6.248260907934878,5.522996946896624,5.9274431378767325,5.6167479887391165,6.091970499977245,5.756322261498281,6.427819269816319,5.671873313587327,5.6534977912141695
2016-02-01,6.216310365095072,5.1840106733605165,5.554292138949863,5.415109328926675,5.572655604574174,5.564137120468239,5.973330342788191,5.379687014004748,5.564299910867355
2016-03-01,5.853703851439053,4.88374809483885,5.351658408210203,5.2220677180542525,5.8379515380768225,5.476406309749127,5.8208823784006505,5.128995783038062,5.3033614629712655
2016-04-01,5.6874459645550886,5.006624337587571,5.2117105916328015,5.077592299520351,5.6756328105410825,5.255805861063742,5.683270971340503,4.968936798869073,5.031775228795489
2016-05-01,5.619145254608647,5.0073020883305,5.173146353146201,5.0306042317334665,5.638516097299978,5.239492299725744,5.6771220388268615,4.957875351104716,5.005788459650063
2016-06-01,5.613899620140042,5.1075703616170385,5.219771350120338,5.0206415517375005,5.704573130562862,5.276558395689543,5.721936319992054,5.069446719356119,5.059315359733564
2016-07-01,5.856770754944072,5.3537865052230655,5.372150934951844,5.259402707825392,6.008280441186656,5.514637179259704,5.956526186579545,5.3634609641544495,5.187119350619426
2016-08-01,6.0826383657253,5.55894714649399,5.7310826376761534,5.51498144782232,6.251694250111535,5.804928669634178,6.252149027086482,5.58294313690376,5.368174321981719
2016-09-01,6.135341479263802,5.949025638781338,5.718009163043295,5.5498733439356025,6.282450057395698,5.9111781768276765,6.30620527352814,5.6855612188869324,5.48830483289902
2016-10-01,6.116921808527447,6.098823411991957,5.740772225343843,5.5708274437790335,6.357589552839802,5.782879216188237,6.23077215339056,5.717670874964267,5.304386750671867
2016-11-01,6.118330138191945,5.8920531793914535,5.5475855288670655,5.457478474740668,6.326623096136522,5.784824136267716,6.056660825092673,5.701164625961404,5.1277124127602685
2016-12-01,6.366185142659434,5.8031760727483785,5.559444558497669,5.421525627501762,6.255844523128808,5.762209080027093,5.829379321441849,5.689545765129013,4.995044365269316
2017-01-01,6.41232265114026,5.873801440958401,5.4732105321459485,5.155189606890279,5.6654350496626416,5.281313532741176,5.483913834637747,5.698123966536214,5.0478941217281355
2017-02-01,6.060855281251433,5.6548789327790985,5.050528503034241,5.050665156450888,5.563449389400449,5.058688814204947,5.003903987760778,5.472595755215394,5.371326099095884
2017-03-01,5.214195212216668,5.502366221924095,5.391460916799189,4.886202348974384,5.714229235065543,4.621326637758424,4.789174803113872,5.281351585684005,5.36677939811881
2017-04-01,5.0784411437250485,5.405502939795365,5.176058338754984,4.70604795868053,5.3954562845663085,4.532681268596999,4.685947738997488,5.135821833001418,5.227435319789119
2017-05-01,5.041933569104437,5.469924714090595,5.086983167617044,4.690999511074323,5.402982402826978,4.5001559229784736,4.75522591553557,5.12397460093038,5.171022581278782
2017-06-01,5.223559480113532,5.592098399096872,5.183186382537496,4.8833422870332575,5.401080105246457,4.8569368675530615,4.924568645283243,5.062098406261441,5.181592052068046
2017-07-01,5.4712604099822775,5.586212300874226,5.428093253822572,5.193654539865219,5.626730566618144,5.083225401527245,5.142207500970971,5.259028354457112,5.522296593082027
2017-08-01,5.77978534964691,5.860135596739299,5.697917333978159,5.3896611649876505,5.916111898977581,5.428105168751181,5.5685360094942125,5.538542667337151,5.871625796324728
2017-09-01,5.8497145555489976,5.996313461978924,5.787886034391741,5.618489018487681,5.900432444250715,5.5922719751344525,5.734612084366473,5.617092229853086,5.7580960957557625
2017-10-01,5.766715519142448,6.23142355940807,5.799120209734198,5.476349391038722,6.029241857232598,5.77380658594158,5.773036783450452,5.637070840543499,5.6683033019763975
2017-11-01,5.816276943264422,6.2485526067590165,5.747857932158389,5.402815440690489,5.838192163049638,5.787955246178756,5.856124625815142,5.6679784581144,5.570674299116132
2017-12-01,6.204302225914164,6.0821930194859775,5.479867162460223,5.2959035178041365,5.5449958433871815,5.783854529010644,5.829726721108828,5.61494929659738,5.683584553507927
2018-01-01,6.1526964278209375,5.896526464327918,5.388107657836338,5.128860276164291,5.669378097746104,5.745439917177513,6.091352369290391,5.575372411950688,5.888585127732353
2018-02-01,5.994231937843376,5.644528568148326,5.514143725383862,4.916963260111352,5.191662765705444,5.5728265139349125,5.994427265498588,5.420529069994731,5.831050706809243
2018-03-01,5.845455898966937,5.4419239209824255,5.683135965223715,4.726877739439714,4.984567648887368,5.383212797724364,5.74922341942032,5.181427355697366,5.552690654417525
2018-04-01,5.6156635664685295,5.250510653142629,5.5614953783625936,4.5808882642419215,4.910265402344224,5.210152065917741,5.624935019662557,4.9863593890241455,5.476494808479063
2018-05-01,5.481896178932606,5.097332296620034,5.497322342584832,4.47712491981361,4.818417836589044,5.023924692016472,5.6294704415905805,5.099681759066104,5.447580403926031
2018-06-01,5.568395391342633,5.115322012871975,5.5222057899393215,4.64818666241263,4.9377201838604785,5.123115797484866,5.6833715250117125,5.213025347367921,5.284439176606103
2018-07-01,5.761262712208363,5.530010248117859,5.774681218474008,5.080591061874899,5.208452261998687,5.375648622589675,5.884592710650155,5.43129200018471,5.367908671472953
2018-08-01,6.063664523810719,5.866272065018992,6.060909059267182,5.4086255071292335,5.577845082267158,5.7022509082432435,6.1845905268529595,5.745365697760956,5.729077355894082
2018-09-01,6.101814343146392,5.784752312028988,6.083417683866888,5.5669216819628335,5.757352267978115,5.8025935015828205,6.207287947157165,5.904984353090607,5.848829064349742
2018-10-01,6.136411467123541,5.807586297712812,6.120423325693598,5.574201326208232,5.6537487598118625,5.827852917972923,6.332399987273368,5.926258723744459,5.966571411687223
2018-11-01,6.321115511209038,5.793825528405797,6.118677016941778,5.5316298746710935,5.836446836556393,5.8478579627532605,6.059339327171787,5.937497178631773,6.1969822806691255
2018-12-01,6.281829511075793,5.7604771616429495,6.0849383756126265,5.142149056015677,6.259024916097971,5.915478240202591,6.004778090425546,5.911294496371901,6.687326621286173
2019-01-01,6.200104437389808,6.0820164383179485,6.0102614345127385,5.243563744349099,6.3519424025141475,6.052304330991845,5.7734635323574865,5.847255977664977,6.2316568417406
2019-02-01,5.704571371047773,5.952969163010751,5.960473425400782,4.8015782497179815,6.405727477957678,5.708621961390673,5.451993114114139,5.694307168792058,5.900754028669816
2019-03-01,5.640802733419572,5.767049553149892,5.921830959502512,4.779758247830566,6.1477152502360175,5.436438368130551,5.353029055928079,5.727262172903488,5.602515317266237
2019-04-01,5.69576639255506,5.610128618933746,5.747971571608104,4.7157551463762175,5.892828920018985,5.261925577004367,5.20182840605289,5.563264791403683,5.395607777962752
2019-05-01,5.669665792832888,5.628990476849823,5.547501125918477,4.572316033295478,5.755161684785175,5.188782430863842,5.124644324727788,5.357027865783612,5.305245481493769
2019-06-01,5.7138151039676774,5.784035876820755,5.516708916240934,4.823708740050347,5.713064344599345,5.267165819888347,5.244251254958813,5.429732918063898,5.182660899126051
2019-07-01,5.8753254961763695,5.958246345529925,5.652022670056223,5.1151634847133485,5.827735371611711,5.48587496827202,5.490596209149112,5.525503636704012,5.396708734903168
2019-08-01,6.134439517846887,6.1807435213121735,5.842008290080951,5.525936438837938,5.911967743244093,5.792779386996784,5.829305151249274,5.796016244795392,5.847425881870893
2019-09-01,6.2789327584012815,6.234117454502725,5.876236698695999,5.61062367116845,6.010506381992572,5.797742077367857,5.975479998970183,5.905306401294421,5.784486975499751
2019-10-01,6.278899378519328,6.221739720927862,5.929011228986522,5.604739738444934,5.947895808030406,5.861634019380982,6.0888250246871145,5.89013638194829,5.988468634047156
2019-11-01,6.1175797419571225,6.0268862639197245,6.109888055865048,5.559371962996298,5.738981002681882,5.790416657566206,5.9455675949309645,5.907902379868388,6.371480603452239
2019-12-01,5.8493055748009954,6.1837665174193015,5.887980314896911,5.3946741241754035,6.20590446898847,5.713278764337553,6.005357334242404,5.885063464741242,5.988019310639295
2020-01-01,5.835698374823668,6.015668126014675,5.2989599497812385,5.353486799026652,5.783829840695634,5.7945919046729495,6.0981435225958425,5.9286275140845355,5.830982465802301
2020-02-01,5.509791666193944,5.6209772100222715,5.207538365924025,5.012310346469231,5.4952793678892204,5.6036944673148845,5.679017952769726,5.668849747342656,5.143199214134096
2020-03-01,5.176857984248457,5.469152281966032,4.714091749496972,4.897271265316029,5.358202770007508,5.608346624608961,5.34981626043782,5.536167891628707,4.907550027594885
2020-04-01,5.024458050765767,5.218687363647821,4.7800788086752775,4.612481316500833,5.224334865999081,5.5396752692178834,5.2024309780181,5.519578239175567,4.550945529716316
2020-05-01,4.983113638492896,5.261863717557728,4.767839150654419,4.536975890886094,5.109562951440996,5.495110578293352,5.177706485840441,5.4692377428401135,4.548600716148502
2020-06-01,4.990743690991348,5.447374346161301,4.8627167094767145,4.6456013039134625,5.187735648506571,5.5155457184368295,5.323991156588955,5.392904889505107,4.632196527503103
2020-07-01,5.331280485152961,5.673161702355918,4.986695882801984,4.824493887223866,5.365361894109737,5.668784452952759,5.564205709978036,5.622557987305153,5.090992286465746
2020-08-01,5.656882188050068,5.810441525415072,5.441108548300687,4.960512151199005,5.597443749319887,5.9031143131692,5.868206917432041,6.048755186023468,5.443520849418332
2020-09-01,5.8595905191572735,6.017181523100955,5.558307370020436,5.320441344200349,5.740798766916437,6.022959460048865,5.971031836652916,6.192960626936477,5.448495115681236
2020-10-01,5.763424845243413,5.874904479128232,5.606326036741789,5.285068949545049,5.811082059199863,5.991862436221073,5.7779313193982365,6.165107577439468,5.583454508879058
2020-11-01,5.623156568502114,5.732937521902244,5.5665447987047445,5.204484609971809,5.913009947709153,6.216224601054815,5.970608082286526,6.155462017561378,5.475225243196562
2020-12-01,5.388646959483467,5.738095483092251,5.7899484011026585,4.989427587251257,4.850143537162907,6.393137391760558,5.881853743388665,6.2712464345991785,5.2788208846260085
