,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-r1i1p1f1
1993-01-01,7.0927340514053085,7.102078557579743,6.9398912574095855,6.962606946896899,7.102903402109652,7.084515925456547
1993-02-01,7.2056140710305865,7.214958577205019,7.052771277034862,7.075486966522178,7.215783421734928,7.197395945081823
1993-03-01,7.292189300048996,7.3015338062234285,7.139346506053273,7.162062195540585,7.302358650753338,7.283971174100233
1993-04-01,7.352441462759456,7.361785968933892,7.199598668763733,7.222314358251048,7.362610813463801,7.344223336810694
1993-05-01,7.155129942767049,7.1644744489414816,7.002287148771324,7.151423545529604,7.16529929347139,7.146911816818285
1993-06-01,6.99394726010333,7.003291766277764,6.841104466107607,6.93313292447592,7.004116610807673,6.9857291341545675
1993-07-01,6.855175121504941,6.864519627679374,6.702332327509216,6.798324498970477,6.865344472209282,6.846956995556177
1993-08-01,6.802539686214362,6.811884192388796,6.649696892218637,6.672412581705951,6.812709036918704,6.794321560265599
1993-09-01,6.693856605024817,6.703201111199252,6.541013811029093,6.563729500516407,6.70402595572916,6.685638479076055
1993-10-01,6.66605592640204,6.675400432576473,6.513213132406317,6.555817612503978,6.67622527710638,6.657837800453275
1993-11-01,6.748364338584312,6.757708844758747,6.595521544588588,6.661805076132683,6.758533689288652,6.740146212635548
1993-12-01,6.904889295394727,6.9142338015691625,6.752046501399004,6.774762190886317,6.9150586460990695,6.896671169445964
1994-01-01,7.08501252836793,7.094180723105109,6.935053560674013,6.95734065224647,7.094990004530679,7.07694946139933
1994-02-01,7.197892547993206,7.207060742730385,7.0479335802992855,7.071541411732108,7.207870024155956,7.189829481024607
1994-03-01,7.284467777011616,7.293635971748795,7.134508809317698,7.157357542163006,7.2944452531743655,7.276404710043017
1994-04-01,7.344719939722077,7.353888134459258,7.19476097202816,7.220673602702812,7.354697415884829,7.336656872753479
1994-05-01,7.147408419729668,7.156576614466848,6.99744945203575,7.019736543608209,7.157385895892418,7.139345352761069
1994-06-01,6.986225737065951,6.99539393180313,6.836266769372032,6.8585538609444905,6.996203213228702,6.978162670097352
1994-07-01,6.84745359846756,6.856621793204737,6.697494630773642,6.7197817223461005,6.857431074630308,6.83939053149896
1994-08-01,6.7948181631769815,6.8039863579141615,6.644859195483062,6.667146287055521,6.804795639339732,6.786755096208383
1994-09-01,6.6861350819874374,6.6953032767246174,6.536176114293518,6.558463205865978,6.696112558150189,6.67807201501884
1994-10-01,6.658334403364661,6.667502598101837,6.50837543567074,6.530662527243201,6.668311879527409,6.65027133639606
1994-11-01,6.7406428155469325,6.7498110102841125,6.590683847853013,6.612970939425473,6.750620291709683,6.732579748578333
1994-12-01,6.897167772357348,6.9063359670945275,6.747208804663429,6.769495896235888,6.907145248520099,6.889104705388748
1995-01-01,7.077291005330548,7.086282888630475,6.930215863938438,6.95207435759604,7.087076606951707,7.069382997342116
1995-02-01,7.190171024955824,7.199162908255751,7.043095883563713,7.0649543772213175,7.199956626576984,7.182263016967392
1995-03-01,7.2767462539742365,7.285738137274161,7.129671112582122,7.151529606239728,7.286531855595393,7.268838245985803
1995-04-01,7.336998416684697,7.345990299984624,7.1899232752925855,7.211781768950187,7.346784018305857,7.329090408696265
1995-05-01,7.139686896692287,7.148678779992213,6.9926117553001745,7.014470248957777,7.149472498313446,7.131778888703854
1995-06-01,6.978504214028572,6.987496097328496,6.831429072636459,6.853287566294061,6.988289815649729,6.9705962060401365
1995-07-01,6.839732075430177,6.8487239587301065,6.692656934038067,6.746802411197717,6.849517677051338,6.8318240674417465
1995-08-01,6.787096640139601,6.796088523439527,6.6400214987474895,6.661879992405093,6.796882241760759,6.779188632151168
1995-09-01,6.678413558950057,6.6874054422499825,6.531665288358117,6.553196911215547,6.693453381659506,6.670505550961625
1995-10-01,6.6506128803272775,6.659604763627204,6.504268804140673,6.52539623259277,6.660398481948437,6.642704872338845
1995-11-01,6.732921292509551,6.7419131758094775,6.585846151117438,6.607704644775041,6.74270689413071,6.725013284521117
1995-12-01,6.889446249319969,6.8984381326198925,6.742371107927855,6.764229601585457,6.899231850941127,6.881538241331534
1996-01-01,7.0695694822931685,7.078385054155841,6.925378167202863,6.94680806294561,7.079163209372736,7.061816533284901
1996-02-01,7.1824495019184456,7.191265073781117,7.038258186828139,7.059688082570887,7.1920432289980125,7.174696552910177
1996-03-01,7.269024730936855,7.277840302799528,7.124833415846549,7.146263311589299,7.278618458016423,7.2612717819285875
1996-04-01,7.329276893647318,7.338092465509987,7.1850855785570085,7.206515474299759,7.338870620726883,7.321523944639049
1996-05-01,7.131965373654907,7.14078094551758,6.987774058564602,7.00920395430735,7.141559100734475,7.12421242464664
1996-06-01,6.9707826909911885,6.979598262853862,6.8265913759008825,6.84802127164363,6.980376418070757,6.963029741982922
1996-07-01,6.832010552392799,6.840826124255472,6.6878192373024925,6.70924913304524,6.841604279472368,6.824257603384531
1996-08-01,6.77937511710222,6.788190688964892,6.635183802011915,6.656613697754662,6.788968844181789,6.771622168093954
1996-09-01,6.670692035912678,6.6795076077753475,6.526500720822371,6.54793061656512,6.680285762992246,6.662939086904409
1996-10-01,6.642891357289897,6.65170692915257,6.498700042199593,6.5201299379423405,6.652485084369465,6.63513840828163
1996-11-01,6.7251997694721695,6.7340153413348425,6.5810084543818625,6.602438350124612,6.734793496551738,6.717446820463902
1996-12-01,6.881724726282586,6.8905402981452575,6.73753341119228,6.758963306935028,6.891318453362154,6.873971777274319
1997-01-01,7.061847959255787,7.0704872196812065,6.920540470467287,6.941541768295183,7.071249811793764,7.0542500692276855
1997-02-01,7.174727978881066,7.183367239306482,7.0334204900925625,7.054421787920457,7.184129831419039,7.167130088852961
1997-03-01,7.2613032078994735,7.269942468324892,7.119995719110974,7.140997016938868,7.27070506043745,7.253705317871372
1997-04-01,7.321555370609936,7.330194631035358,7.180247881821438,7.201249179649332,7.330957223147912,7.313957480581834
1997-05-01,7.124243850617527,7.132883111042945,6.982936361829027,7.003937659656921,7.133645703155503,7.116645960589424
1997-06-01,6.96306116795381,6.971700428379228,6.821753679165307,6.842754976993202,6.9724630204917855,6.955463277925707
1997-07-01,6.824289029355418,6.832928289780837,6.682981540566917,6.703982838394812,6.833690881893394,6.8166911393273155
1997-08-01,6.7716535940648415,6.780292854490257,6.63034610527634,6.651347403104234,6.781055446602816,6.764055704036738
1997-09-01,6.662970512875298,6.671609773300716,6.5216630240867985,6.542664321914692,6.672372365413272,6.655372622847194
1997-10-01,6.635169834252517,6.643809094677937,6.493862345464017,6.5148636432919105,6.644571686790494,6.627571944224415
1997-11-01,6.71747824643479,6.7261175068602075,6.576170757646289,6.597172055474182,6.7268800989727655,6.709880356406687
1997-12-01,6.874003203245206,6.882642463670624,6.732695714456706,6.7536970122846,6.883405055783182,6.866405313217103
1998-01-01,7.054126436218407,7.062589385206572,6.915702773731713,6.936275473644753,7.063336414214794,7.04668360517047
1998-02-01,7.167006455843684,7.175469404831849,7.028582793356991,7.049155493270027,7.176216433840067,7.159563624795747
1998-03-01,7.2535816848620955,7.262044633850259,7.1151580223754,7.1357307222884385,7.262791662858477,7.2461388538141565
1998-04-01,7.313833847572558,7.322296796560721,7.1754101850858625,7.195982884998901,7.323043825568941,7.306391016524619
1998-05-01,7.116522327580148,7.124985276568313,6.9780986650934524,6.998671365006491,7.1257323055765305,7.109079496532209
1998-06-01,6.955339644916428,6.963802593904593,6.8169159824297365,6.837488682342772,6.964549622912812,6.947896813868492
1998-07-01,6.816567506318037,6.825030455306202,6.678143843831344,6.698716543744383,6.825777484314423,6.8091246752701
1998-08-01,6.76393207102746,6.772395020015622,6.625508408540767,6.646081108453804,6.7731420490238445,6.756489239979523
1998-09-01,6.65524898983792,6.66371193882608,6.516825327351223,6.5373980272642624,6.664458967834301,6.6478061587899795
1998-10-01,6.6274483112151374,6.635911260203304,6.489024648728442,6.509597348641481,6.636658289211521,6.6200054801672
1998-11-01,6.709756723397409,6.718219672385574,6.571333060910715,6.591905760823753,6.718966701393795,6.702313892349472
1998-12-01,6.866281680207826,6.874744629195992,6.727858017721133,6.74843071763417,6.8754916582042105,6.858838849159888
1999-01-01,7.046404913181028,7.054691550731938,6.910865076996138,6.931009178994322,7.055423016635818,7.0391171411132545
1999-02-01,7.159284932806304,7.167571570357215,7.023745096621416,7.043889198619598,7.168303036261097,7.151997160738531
1999-03-01,7.245860161824714,7.254146799375625,7.110320325639826,7.1304644276380085,7.254878265279506,7.238572389756941
1999-04-01,7.3061123245351745,7.314398962086088,7.170572488350287,7.190716590348472,7.31513042798997,7.298824552467403
1999-05-01,7.108800804542768,7.117087442093678,6.973260968357879,6.9934050703560615,7.11781890799756,7.101513032474994
1999-06-01,6.9476181218790485,6.95590475942996,6.81207828569416,6.832222387692344,6.956636225333844,6.940330349811275
1999-07-01,6.808845983280658,6.817132620831572,6.673306147095769,6.693450249093952,6.817864086735451,6.801558211212885
1999-08-01,6.756210547990079,6.764497185540991,6.620670711805191,6.640814813803375,6.765228651444874,6.748922775922307
1999-09-01,6.647527466800536,6.655814104351448,6.511987630615648,6.5321317326138315,6.65654557025533,6.640239694732764
1999-10-01,6.619726788177756,6.6280134257286685,6.484186951992871,6.504331053991053,6.628744891632549,6.612439016109985
1999-11-01,6.7020352003600285,6.710321837910942,6.5664953641751405,6.586639466173326,6.711053303814823,6.694747428292256
1999-12-01,6.858560157170444,6.866846794721358,6.723020320985558,6.7431644229837415,6.867578260625239,6.851272385102673
2000-01-01,7.038683390143646,7.046793716257305,6.9060273802605625,6.925742884343894,7.047509619056847,7.03155067705604
2000-02-01,7.151563409768922,7.159673735882581,7.01890739988584,7.03862290396917,7.160389638682124,7.144430696681317
2000-03-01,7.238138638787332,7.246248964900991,7.10548262890425,7.12519813298758,7.246964867700535,7.231005925699726
2000-04-01,7.298390801497796,7.306501127611454,7.165734791614712,7.1854502956980415,7.307217030410997,7.2912580884101885
2000-05-01,7.101079281505385,7.109189607619044,6.968423271622303,6.988138775705633,7.109905510418588,7.0939465684177785
2000-06-01,6.939896598841669,6.948006924955326,6.807240588958585,6.8269560930419155,6.948722827754869,6.932763885754062
2000-07-01,6.801124460243278,6.809234786356933,6.668468450360192,6.688183954443524,6.809950689156477,6.79399174715567
2000-08-01,6.748489024952699,6.756599351066357,6.615833015069617,6.635548519152946,6.7573152538659,6.741356311865092
2000-09-01,6.639805943763156,6.647916269876814,6.507149933880074,6.526865437963402,6.648632172676357,6.6326732306755485
2000-10-01,6.612005265140375,6.620115591254034,6.4793492552572935,6.499064759340622,6.636262350290759,6.60487255205277
2000-11-01,6.694313677322649,6.702424003436308,6.561657667439567,6.5813731715228965,6.703139906235848,6.687180964235042
2000-12-01,6.850838634133066,6.858948960246724,6.718182624249983,6.737898128333312,6.859664863046267,6.843705921045458
2001-01-01,7.0309618671062655,7.038895881782671,6.90118968352499,6.9204765896934655,7.039596221477878,7.023984212998825
2001-02-01,7.143841886731543,7.151775901407947,7.014069703150268,7.033356609318742,7.152476241103152,7.1368642326241005
2001-03-01,7.230417115749952,7.238351130426358,7.1006449321686755,7.119931838337151,7.239051470121563,7.22343946164251
2001-04-01,7.290669278460416,7.298603293136819,7.160897094879139,7.180184001047612,7.299303632832025,7.283691624352973
2001-05-01,7.093357758468004,7.10129177314441,6.963585574886729,6.982872481055202,7.101992112839615,7.086380104360563
2001-06-01,6.932175075804287,6.940109090480693,6.802402892223013,6.8216897983914855,6.9408094301758965,6.925197421696845
2001-07-01,6.793402937205896,6.801336951882303,6.663630753624622,6.682917659793095,6.802037291577507,6.786425283098455
2001-08-01,6.740767501915318,6.748701516591725,6.610995318334043,6.630282224502517,6.749401856286928,6.733789847807877
2001-09-01,6.632084420725776,6.6400184354021805,6.5023122371445,6.521599143312973,6.640718775097387,6.625106766618334
2001-10-01,6.604283742102995,6.6122177567794,6.47451155852172,6.493798464690193,6.612918096474607,6.597306087995554
2001-11-01,6.686592154285267,6.694526168961673,6.556819970703992,6.5761068768724655,6.695226508656878,6.679614500177826
2001-12-01,6.843117111095682,6.851051125772089,6.713344927514408,6.732631833682883,6.851751465467294,6.836139456988243
2002-01-01,7.023240344068885,7.030998047308037,6.896351986789416,6.9152102950430345,7.031682823898903,7.016417748941609
2002-02-01,7.136120363694161,7.143878066933312,7.009232006414693,7.0280903146683125,7.144562843524182,7.129297768566886
2002-03-01,7.222695592712571,7.230453295951722,7.095807235433103,7.114665543686721,7.231138072542591,7.215872997585295
2002-04-01,7.282947755423034,7.290705458662185,7.1560593981435625,7.174917706397183,7.291390235253054,7.276125160295758
2002-05-01,7.085636235430624,7.093393938669777,6.9587478781511525,6.977606186404773,7.094078715260642,7.0869453715981
2002-06-01,6.9244535527669075,6.932211256006057,6.797565195487437,6.816423503741055,6.9328960325969256,6.951164167186157
2002-07-01,6.7856814141685176,6.793439117407668,6.658793056889047,6.6776513651426646,6.794123893998535,6.77885881904124
2002-08-01,6.7330459788779375,6.740803682117089,6.606157621598467,6.625015929852087,6.741488458707956,6.7262233837506615
2002-09-01,6.6243628976883935,6.6321206009275455,6.4974745404089225,6.516332848662543,6.6328053775184115,6.617540302561118
2002-10-01,6.596562219065614,6.604319922304766,6.469673861786145,6.488532170039764,6.605004698895633,6.589739623938339
2002-11-01,6.678870631247888,6.686628334487038,6.5519822739684175,6.570840582222036,6.6873131110779065,6.672048036120612
2002-12-01,6.835395588058304,6.843153291297455,6.7085072307788325,6.727365539032452,6.8438380678883215,6.8285729929310275
2003-01-01,7.015518821031503,7.023100212833402,6.891514290053841,6.909944000392605,7.023769426319933,7.008851284884394
2003-02-01,7.128398840656781,7.13598023245868,7.0043943096791175,7.0228240200178815,7.136649445945209,7.12173130450967
2003-03-01,7.2149740696751925,7.222555461477089,7.090969538697528,7.109399249036293,7.223224674963619,7.208306533528081
2003-04-01,7.275226232385652,7.282807624187551,7.151221701407992,7.169651411746753,7.2834768376740815,7.281606013162907
2003-05-01,7.0779147123932455,7.085496104195141,6.953910181415581,6.972339891754342,7.086165317681672,7.076011502631761
2003-06-01,6.916732029729526,6.924313421531425,6.792727498751862,6.811157209090627,6.924982635017954,6.9612612302023225
2003-07-01,6.777959891131134,6.785541282933033,6.653955360153471,6.672385070492235,6.786210496419562,6.784454385901494
2003-08-01,6.725324455840558,6.732905847642456,6.601319924862894,6.619749635201657,6.7335750611289855,6.718656919693447
2003-09-01,6.616641374651014,6.624222766452911,6.49263684367335,6.511066554012114,6.6248919799394415,6.609973838503904
2003-10-01,6.5888406960282335,6.596422087830132,6.464836165050571,6.483265875389336,6.597091301316662,6.582173159881124
2003-11-01,6.671149108210506,6.678730500012405,6.547144577232842,6.565574287571608,6.679399713498935,6.664481572063396
2003-12-01,6.827674065020924,6.8352554568228205,6.703669534043257,6.722099244382022,6.8359246703093515,6.821006528873813
2004-01-01,7.007797297994124,7.015202378358767,6.886676593318268,6.904677705742174,7.01585602874096,7.001284820827179
2004-02-01,7.1206773176194025,7.128082397984045,6.999556612943543,7.017557725367452,7.128736048366238,7.114164840452455
2004-03-01,7.207252546637813,7.214657627002455,7.0861318419619534,7.104132954385863,7.215311277384647,7.208902375581978
2004-04-01,7.267504709348272,7.274909789712918,7.1463840046724165,7.164385117096325,7.27556344009511,7.260992232181328
2004-05-01,7.070193189355862,7.077598269720508,6.949072484680006,6.967073597103915,7.0782519201027,7.063680712188917
2004-06-01,6.9090105066921454,6.9164155870567905,6.787889802016287,6.805890914440197,6.917069237438983,6.9024980295252005
2004-07-01,6.770238368093754,6.777643448458399,6.649117663417897,6.667118775841807,6.778297098840591,6.76372589092681
2004-08-01,6.717602932803175,6.7250080131678205,6.596482228127319,6.614483340551229,6.725661663550014,6.711090455636231
2004-09-01,6.608919851613632,6.616324931978277,6.4877991469377765,6.505800259361683,6.616978582360471,6.602407374446688
2004-10-01,6.581119172990854,6.588524253355497,6.4599984683149945,6.4779995807389055,6.58917790373769,6.574606695823908
2004-11-01,6.6634275851731255,6.6708326655377705,6.542306880497269,6.560307992921177,6.671486315919963,6.6569151080061815
2004-12-01,6.819952541983541,6.827357622348187,6.698831837307685,6.716832949731594,6.828011272730379,6.813440064816597
2005-01-01,7.000075774956744,7.007304543884136,6.881838896582693,6.899411411091746,7.0079426311619875,6.993718356769964
2005-02-01,7.11295579458202,7.120184563509412,6.994718916207969,7.012291430717022,7.1208226507872645,7.16610696489113
2005-03-01,7.1995310236004295,7.206759792527821,7.081294145226378,7.098866659735433,7.207397879805676,7.2116420072227685
2005-04-01,7.259783186310892,7.267011955238284,7.14154630793684,7.159118822445895,7.267650042516137,7.277246343354106
2005-05-01,7.0624716663184826,7.069700435245874,7.0145315695370805,6.961807302453487,7.070338522523728,7.077630896755293
2005-06-01,6.901288983654765,6.908517752582156,6.7830521052807144,6.800624619789767,6.909155839860011,6.894931565467985
2005-07-01,6.762516845056374,6.7697456139837655,6.6730562066561285,6.661852481191376,6.77038370126162,6.762602934734498
2005-08-01,6.7098814097657975,6.717110178693187,6.591644531391744,6.609217045900799,6.717748265971043,6.714900743459733
2005-09-01,6.6011983285762525,6.608427097503643,6.482961450202201,6.500533964711255,6.609065184781497,6.600099790919645
2005-10-01,6.573397649953472,6.5806264188808665,6.455160771579423,6.472733286088475,6.581264506158718,6.567040231766693
2005-11-01,6.655706062135745,6.662934831063138,6.537469183761694,6.555041698270749,6.663572918340992,6.649348643948966
2005-12-01,6.812231018946163,6.819459787873553,6.69399414057211,6.711566655081164,6.820097875151408,6.805873600759382
2006-01-01,6.992354251919362,6.9994067094095005,6.877001199847117,6.894145116441318,7.000029233583017,6.986151892712749
2006-02-01,7.10523427154464,7.1122867290347775,6.989881219472394,7.007025136066593,7.112909253208294,7.213274831082209
2006-03-01,7.191809500563049,7.198861958053187,7.076456448490805,7.0936003650850035,7.199484482226705,7.290493798199609
2006-04-01,7.252061663273512,7.259114120763649,7.136708611201266,7.1538525277954665,7.259736644937165,7.256578936274872
2006-05-01,7.054750143281102,7.061802600771239,6.939397091208857,6.9565410078030565,7.062425124944756,7.084429050126072
2006-06-01,6.893567460617385,6.900619918107522,6.778214408545139,6.795358325139339,6.9012424422810374,6.88736510141077
2006-07-01,6.754795322018992,6.7618477795091305,6.639442269946747,6.656586186540947,6.762470303682648,6.7485929628123795
2006-08-01,6.702159886728415,6.709212344218553,6.586806834656169,6.60395075125037,6.70983486839207,6.695957527521801
2006-09-01,6.593476805538873,6.60052926302901,6.478123753466628,6.4952676700608265,6.601151787202525,6.587274446332257
2006-10-01,6.565676126916093,6.572728584406232,6.450323074843848,6.467466991438045,6.573351108579747,6.559473767709478
2006-11-01,6.647984539098365,6.655036996588503,6.532631487026119,6.549775403620317,6.655659520762018,6.6417821798917505
