,YEAR,MONTH,SST
0,1987.0,1.0,
1,1987.0,2.0,
2,1987.0,3.0,
3,1987.0,4.0,
4,1987.0,5.0,
5,1987.0,6.0,12.116765285996056
6,1987.0,7.0,13.124696356275276
7,1987.0,8.0,12.368102288021532
8,1987.0,9.0,12.641863905325467
9,1987.0,10.0,13.08600269179007
10,1987.0,11.0,11.800140252454414
11,1987.0,12.0,9.560161507402443
12,1988.0,1.0,8.395681511471
13,1988.0,2.0,8.26325648414982
14,1988.0,3.0,9.011827956989245
15,1988.0,4.0,10.388873435326827
16,1988.0,5.0,12.393783783783796
17,1988.0,6.0,12.851944444444452
18,1988.0,7.0,12.26278755074425
19,1988.0,8.0,12.408243243243254
20,1988.0,9.0,11.614504881450479
21,1988.0,10.0,12.59919246298791
22,1988.0,11.0,11.278690807799398
23,1988.0,12.0,10.540070921985805
24,1989.0,1.0,
25,1989.0,2.0,
26,1989.0,3.0,8.243692870201114
27,1989.0,4.0,10.301422475106685
28,1989.0,5.0,12.067114093959743
29,1989.0,6.0,
30,1989.0,7.0,15.165562913907278
31,1989.0,8.0,13.979291553133478
32,1989.0,9.0,13.251671309192176
33,1989.0,10.0,12.47361299052771
34,1989.0,11.0,10.729551820728318
35,1989.0,12.0,9.213896457765674
36,1990.0,1.0,8.902162162162169
37,1990.0,2.0,7.445068285280715
38,1990.0,3.0,8.81786197564273
39,1990.0,4.0,10.14030898876405
40,1990.0,5.0,10.842076502732233
41,1990.0,6.0,13.277668539325836
42,1990.0,7.0,13.754878048780489
43,1990.0,8.0,14.642048517520212
44,1990.0,9.0,16.79027181688128
45,1990.0,10.0,12.787449392712494
46,1990.0,11.0,11.482451253481912
47,1990.0,12.0,10.097560975609756
48,1991.0,1.0,
49,1991.0,2.0,8.618918918918924
50,1991.0,3.0,8.565053763440826
51,1991.0,4.0,9.851532033426178
52,1991.0,5.0,11.138037634408633
53,1991.0,6.0,11.60180806675939
54,1991.0,7.0,13.059729729729733
55,1991.0,8.0,13.681430536451137
56,1991.0,9.0,13.630598052851147
57,1991.0,10.0,11.196635262449531
58,1991.0,11.0,9.88352272727276
59,1991.0,12.0,9.306684856753074
60,1992.0,1.0,8.895416666666645
61,1992.0,2.0,9.782789317507417
62,1992.0,3.0,11.00437756497949
63,1992.0,4.0,11.538202247191053
64,1992.0,5.0,12.144070080862543
65,1992.0,6.0,12.778120617110812
66,1992.0,7.0,14.511202185792351
67,1992.0,8.0,14.14409340659338
68,1992.0,9.0,12.212041116005878
69,1992.0,10.0,12.330919220055794
70,1992.0,11.0,11.162627737226327
71,1992.0,12.0,8.8895688456189
72,1993.0,1.0,7.679411764705867
73,1993.0,2.0,8.15603864734303
74,1993.0,3.0,9.003526093088835
75,1993.0,4.0,10.796595744680868
76,1993.0,5.0,13.575172413793116
77,1993.0,6.0,14.858102189781013
78,1993.0,7.0,14.223130193905808
79,1993.0,8.0,15.408864265927958
80,1993.0,9.0,12.651808972503654
81,1993.0,10.0,11.673204419889577
82,1993.0,11.0,10.417410071942433
83,1993.0,12.0,8.518513323983163
84,1994.0,1.0,8.828124999999996
85,1994.0,2.0,8.271428571428574
86,1994.0,3.0,9.58512396694211
87,1994.0,4.0,10.96867132867134
88,1994.0,5.0,12.426294277929152
89,1994.0,6.0,14.062184873949581
90,1994.0,7.0,12.397677595628418
91,1994.0,8.0,16.856775067750682
92,1994.0,9.0,13.275675675675664
93,1994.0,10.0,
94,1994.0,11.0,9.530593607305931
95,1994.0,12.0,8.701094391244819
96,1995.0,1.0,8.720299727520418
97,1995.0,2.0,9.59018126888213
98,1995.0,3.0,9.718070652173905
99,1995.0,4.0,10.873500697350071
100,1995.0,5.0,11.93584905660381
101,1995.0,6.0,12.340585774058578
102,1995.0,7.0,15.20411522633742
103,1995.0,8.0,13.543425076452579
104,1995.0,9.0,
105,1995.0,10.0,
106,1995.0,11.0,11.261316872427994
107,1995.0,12.0,10.48218623481784
108,1996.0,1.0,9.49347826086955
109,1996.0,2.0,8.627285921625532
110,1996.0,3.0,9.658648648648642
111,1996.0,4.0,10.640300546448103
112,1996.0,5.0,11.540215924426462
113,1996.0,6.0,12.533193863319395
114,1996.0,7.0,12.891898428053201
115,1996.0,8.0,12.032782719186775
116,1996.0,9.0,14.658240223463658
117,1996.0,10.0,12.504644808743162
118,1996.0,11.0,10.277503628446999
119,1996.0,12.0,9.280434782608674
120,1997.0,1.0,8.66097560975608
121,1997.0,2.0,8.252887537993942
122,1997.0,3.0,8.746268656716394
123,1997.0,4.0,9.90028169014085
124,1997.0,5.0,12.986639676113379
125,1997.0,6.0,15.611186440677947
126,1997.0,7.0,
127,1997.0,8.0,
128,1997.0,9.0,
129,1997.0,10.0,
130,1997.0,11.0,
131,1997.0,12.0,
132,1998.0,1.0,
133,1998.0,2.0,
134,1998.0,3.0,
135,1998.0,4.0,
136,1998.0,5.0,
137,1998.0,6.0,12.642368421052636
138,1998.0,7.0,13.820355191256816
139,1998.0,8.0,14.015541401273861
140,1998.0,9.0,12.37326732673265
141,1998.0,10.0,12.635714285714343
142,1998.0,11.0,11.901813110181301
143,1998.0,12.0,
144,1999.0,1.0,
145,1999.0,2.0,
146,1999.0,3.0,
147,1999.0,4.0,
148,1999.0,5.0,
149,1999.0,6.0,13.301724137931027
150,1999.0,7.0,12.59526387009475
151,1999.0,8.0,14.708548168249655
152,1999.0,9.0,12.401654135338369
153,1999.0,10.0,11.246410684474128
154,1999.0,11.0,11.035521885521913
155,1999.0,12.0,10.266770670826823
156,2000.0,1.0,8.999999999999993
157,2000.0,2.0,8.703157894736822
158,2000.0,3.0,9.284005979073221
159,2000.0,4.0,9.731627906976739
160,2000.0,5.0,11.678374455732968
161,2000.0,6.0,12.903571428571446
162,2000.0,7.0,13.81741496598642
163,2000.0,8.0,14.03705882352941
164,2000.0,9.0,13.9678929765886
165,2000.0,10.0,12.138942976356041
166,2000.0,11.0,10.41559888579383
167,2000.0,12.0,9.236411609498662
168,2001.0,1.0,
169,2001.0,2.0,
170,2001.0,3.0,8.808542713567844
171,2001.0,4.0,9.339330543933047
172,2001.0,5.0,10.800809716599193
173,2001.0,6.0,12.590756302521028
174,2001.0,7.0,12.796774193548421
175,2001.0,8.0,13.9588075880759
176,2001.0,9.0,13.804481792717015
177,2001.0,10.0,11.505068493150654
178,2001.0,11.0,10.43519313304723
179,2001.0,12.0,9.900553250345789
180,2002.0,1.0,9.329919137466288
181,2002.0,2.0,8.743749999999991
182,2002.0,3.0,
183,2002.0,4.0,
184,2002.0,5.0,
185,2002.0,6.0,13.989108910891085
186,2002.0,7.0,13.907692307692301
187,2002.0,8.0,12.880484522207281
188,2002.0,9.0,13.760138888888882
189,2002.0,10.0,10.676860622462792
190,2002.0,11.0,11.238333333333355
191,2002.0,12.0,10.76698113207548
192,2003.0,1.0,10.67054054054056
193,2003.0,2.0,9.68883928571428
194,2003.0,3.0,9.871236559139756
195,2003.0,4.0,10.12489568845618
196,2003.0,5.0,11.842722371967659
197,2003.0,6.0,13.043810848400547
198,2003.0,7.0,14.585148514851475
199,2003.0,8.0,14.564690026954183
200,2003.0,9.0,13.347265077138836
201,2003.0,10.0,13.042219215155582
202,2003.0,11.0,11.171488178025076
203,2003.0,12.0,10.465587044534454
204,2004.0,1.0,9.692069892473109
205,2004.0,2.0,9.070605187319833
206,2004.0,3.0,9.444086021505308
207,2004.0,4.0,10.569177126917724
208,2004.0,5.0,12.703908355795116
209,2004.0,6.0,14.153277545327736
210,2004.0,7.0,14.883016304347816
211,2004.0,8.0,15.80175202156333
212,2004.0,9.0,15.45757997218364
213,2004.0,10.0,13.33611859838287
214,2004.0,11.0,11.258100558659205
215,2004.0,12.0,9.682503364737524
216,2005.0,1.0,9.036473755047068
217,2005.0,2.0,8.727313432835842
218,2005.0,3.0,9.799057873485841
219,2005.0,4.0,10.359722222222198
220,2005.0,5.0,12.84973118279571
221,2005.0,6.0,14.335654596100282
222,2005.0,7.0,14.800807537012101
223,2005.0,8.0,13.677162162162174
224,2005.0,9.0,13.362994350282515
225,2005.0,10.0,13.59959568733152
226,2005.0,11.0,11.851328671328647
227,2005.0,12.0,9.639551192145827
228,2006.0,1.0,
229,2006.0,2.0,
230,2006.0,3.0,
231,2006.0,4.0,
232,2006.0,5.0,
233,2006.0,6.0,13.074545454545461
234,2006.0,7.0,13.87911051212938
235,2006.0,8.0,12.925067385444727
236,2006.0,9.0,12.834449093444894
237,2006.0,10.0,11.997964721845294
238,2006.0,11.0,10.975910364145642
239,2006.0,12.0,
240,2007.0,1.0,
241,2007.0,2.0,
242,2007.0,3.0,
243,2007.0,4.0,
244,2007.0,5.0,
245,2007.0,6.0,
246,2007.0,7.0,
247,2007.0,8.0,
248,2007.0,9.0,
249,2007.0,10.0,12.08613445378153
250,2007.0,11.0,10.650627615062776
251,2007.0,12.0,9.356123822341857
252,2008.0,1.0,8.305100671140982
253,2008.0,2.0,7.779394812680127
254,2008.0,3.0,8.185483870967767
255,2008.0,4.0,8.862916666666674
256,2008.0,5.0,10.488948787061993
257,2008.0,6.0,11.496111111111126
258,2008.0,7.0,12.841588156123839
259,2008.0,8.0,14.321505376344085
260,2008.0,9.0,13.560694444444456
261,2008.0,10.0,12.118145161290254
262,2008.0,11.0,11.188055555555577
263,2008.0,12.0,9.665053763440877
264,2009.0,1.0,8.071601615074037
265,2009.0,2.0,7.656250000000015
266,2009.0,3.0,8.248790322580666
267,2009.0,4.0,8.94097222222224
268,2009.0,5.0,10.947446236559152
269,2009.0,6.0,13.979300699300696
270,2009.0,7.0,13.397043010752686
271,2009.0,8.0,14.517099863201082
272,2009.0,9.0,14.917712691771271
273,2009.0,10.0,11.79565217391302
274,2009.0,11.0,11.385133239831672
275,2009.0,12.0,9.194672131147534
276,2010.0,1.0,9.835841313269464
277,2010.0,2.0,10.163499245852174
278,2010.0,3.0,10.171312584573732
279,2010.0,4.0,10.302920723226686
280,2010.0,5.0,10.733109017496638
281,2010.0,6.0,12.847206703910603
282,2010.0,7.0,12.642204301075255
283,2010.0,8.0,13.157526881720441
284,2010.0,9.0,13.287638888888894
285,2010.0,10.0,13.306760563380243
286,2010.0,11.0,11.50910543130989
287,2010.0,12.0,9.770731707317083
288,2011.0,1.0,8.868049792531101
289,2011.0,2.0,8.340863787375405
290,2011.0,3.0,8.829411764705938
291,2011.0,4.0,9.015028089887648
292,2011.0,5.0,10.789232839838506
293,2011.0,6.0,13.465416666666664
294,2011.0,7.0,14.161424731182795
295,2011.0,8.0,13.774327956989248
296,2011.0,9.0,12.929207232267037
297,2011.0,10.0,13.240451745379863
298,2011.0,11.0,10.830404463040448
299,2011.0,12.0,8.737972972972997
300,2012.0,1.0,8.230716253443498
301,2012.0,2.0,8.13971223021585
302,2012.0,3.0,7.839434724091496
303,2012.0,4.0,9.49456824512533
304,2012.0,5.0,10.704447439353096
305,2012.0,6.0,12.706666666666642
306,2012.0,7.0,14.038575268817208
307,2012.0,8.0,13.94512195121953
308,2012.0,9.0,13.598008534850635
309,2012.0,10.0,11.637709497206705
310,2012.0,11.0,11.391034482758622
311,2012.0,12.0,10.562483130904178
312,2013.0,1.0,8.984656796769857
313,2013.0,2.0,8.181249999999975
314,2013.0,3.0,8.221505376344076
315,2013.0,4.0,9.55027777777778
316,2013.0,5.0,11.31857335127861
317,2013.0,6.0,14.151666666666655
318,2013.0,7.0,13.525134408602131
319,2013.0,8.0,13.922238372093021
320,2013.0,9.0,16.48937784522002
321,2013.0,10.0,13.201209677419348
322,2013.0,11.0,9.730138888888888
323,2013.0,12.0,8.069758064516128
324,2014.0,1.0,7.964784946236556
325,2014.0,2.0,7.648809523809534
326,2014.0,3.0,9.328840970350408
327,2014.0,4.0,10.333472222222213
328,2014.0,5.0,13.649327956989229
329,2014.0,6.0,12.90348189415043
330,2014.0,7.0,15.006586021505377
331,2014.0,8.0,13.93768506056529
332,2014.0,9.0,14.647749196141499
333,2014.0,10.0,
334,2014.0,11.0,
335,2014.0,12.0,
336,2015.0,1.0,
337,2015.0,2.0,
338,2015.0,3.0,11.14170616113744
339,2015.0,4.0,11.228094575799714
340,2015.0,5.0,11.902153432032293
341,2015.0,6.0,12.516944444444455
342,2015.0,7.0,15.842530282637957
343,2015.0,8.0,14.885175202156328
344,2015.0,9.0,15.201253481894152
345,2015.0,10.0,14.514844804318441
346,2015.0,11.0,12.414345403899715
347,2015.0,12.0,10.81859838274931
348,2016.0,1.0,10.470715249662636
349,2016.0,2.0,10.808633093525215
350,2016.0,3.0,10.866756393001324
351,2016.0,4.0,11.825801952580202
352,2016.0,5.0,12.261081081081075
353,2016.0,6.0,13.845403111739737
354,2016.0,7.0,14.770635994587282
355,2016.0,8.0,13.799999999999997
356,2016.0,9.0,14.62426778242679
357,2016.0,10.0,13.053856562922839
358,2016.0,11.0,13.486853146853134
359,2016.0,12.0,11.196896086369746
360,2017.0,1.0,9.05666218034988
361,2017.0,2.0,9.197014925373121
362,2017.0,3.0,9.634100135317997
363,2017.0,4.0,10.431754874651814
364,2017.0,5.0,12.180337078651704
365,2017.0,6.0,13.884992987377277
366,2017.0,7.0,14.069470827679787
367,2017.0,8.0,15.217241379310328
368,2017.0,9.0,15.703030303030303
369,2017.0,10.0,12.676209677419346
370,2017.0,11.0,11.502377622377574
371,2017.0,12.0,10.288544474393543
372,2018.0,1.0,9.947708894878646
373,2018.0,2.0,8.955538922155707
374,2018.0,3.0,9.004032258064527
375,2018.0,4.0,10.262482566248243
376,2018.0,5.0,12.425168236877512
377,2018.0,6.0,12.655978260869562
378,2018.0,7.0,
379,2018.0,8.0,
380,2018.0,9.0,
381,2018.0,10.0,13.472948328267456
382,2018.0,11.0,12.418461538461537
383,2018.0,12.0,10.883518005540118
384,2019.0,1.0,10.663611491108025
385,2019.0,2.0,9.18338323353292
386,2019.0,3.0,9.511506849315056
387,2019.0,4.0,11.113888888888892
388,2019.0,5.0,12.408771929824546
389,2019.0,6.0,13.418898809523805
390,2019.0,7.0,16.4687837837838
391,2019.0,8.0,15.800814111261891
392,2019.0,9.0,15.964375876577853
393,2019.0,10.0,13.148178137651817
394,2019.0,11.0,11.253760445682449
395,2019.0,12.0,9.827395411605941
